solver,n,status,num_knights,placement,solve_time,nodes_explored,upper_bound,lower_bound,timestamp,nodes_pruned_bound,nodes_pruned_infeasible,nodes_integer,branch_order,solve_time_std,nodes_std
best_first_most_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.128909,427,8,6.0,2026-06-02T12:45:48.281460,282,0,73,lp_guided,0.0,0.0
best_first_most_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.176995,427,8,6.0,2026-06-02T12:45:49.458902,282,0,73,three_way,0.0,0.0
best_first_first_fractional,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.072544,427,8,6.0,2026-06-02T12:45:50.531134,282,0,73,zero_first,0.0,0.0
best_first_first_fractional,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.096456,427,8,6.0,2026-06-02T12:45:51.628233,282,0,73,lp_guided,0.0,0.0
best_first_first_fractional,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.070741,427,8,6.0,2026-06-02T12:45:52.699630,282,0,73,three_way,0.0,0.0
best_first_least_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.156948,427,8,6.0,2026-06-02T12:45:53.857092,282,0,73,zero_first,0.0,0.0
best_first_least_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.100703,427,8,6.0,2026-06-02T12:45:54.957573,282,0,73,lp_guided,0.0,0.0
best_first_least_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.076919,427,8,6.0,2026-06-02T12:45:56.034740,282,0,73,three_way,0.0,0.0
best_first_most_coverage,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.132302,461,8,6.0,2026-06-02T12:45:57.167464,242,0,110,zero_first,0.0,0.0
best_first_most_coverage,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.087824,461,8,6.0,2026-06-02T12:45:58.255815,242,0,110,lp_guided,0.0,0.0
best_first_most_coverage,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.180769,461,8,6.0,2026-06-02T12:45:59.437517,242,0,110,three_way,0.0,0.0
depth_first_most_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.080023,427,8,6.0,2026-06-02T12:46:00.518284,282,0,73,zero_first,0.0,0.0
depth_first_most_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.082273,427,8,6.0,2026-06-02T12:46:01.600679,282,0,73,lp_guided,0.0,0.0
depth_first_most_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.168186,427,8,6.0,2026-06-02T12:46:02.769887,282,0,73,three_way,0.0,0.0
depth_first_first_fractional,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.316715,427,8,6.0,2026-06-02T12:46:04.090903,282,0,73,zero_first,0.0,0.0
depth_first_first_fractional,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.20925,427,8,6.0,2026-06-02T12:46:05.299677,282,0,73,lp_guided,0.0,0.0
depth_first_first_fractional,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.18764,427,8,6.0,2026-06-02T12:46:06.488145,282,0,73,three_way,0.0,0.0
depth_first_least_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.292787,427,8,6.0,2026-06-02T12:46:07.781872,282,0,73,zero_first,0.0,0.0
depth_first_least_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.167079,427,8,6.0,2026-06-02T12:46:08.949485,282,0,73,lp_guided,0.0,0.0
depth_first_least_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.11718,427,8,6.0,2026-06-02T12:46:10.066441,282,0,73,three_way,0.0,0.0
depth_first_most_coverage,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.30983,461,8,6.0,2026-06-02T12:46:11.377196,242,0,110,zero_first,0.0,0.0
depth_first_most_coverage,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.396599,461,8,6.0,2026-06-02T12:46:12.773972,242,0,110,lp_guided,0.0,0.0
depth_first_most_coverage,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.324658,461,8,6.0,2026-06-02T12:46:14.099134,242,0,110,three_way,0.0,0.0
breadth_first_most_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.445771,427,8,6.0,2026-06-02T12:46:15.546289,282,0,73,zero_first,0.0,0.0
breadth_first_most_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.187611,427,8,6.0,2026-06-02T12:46:16.733389,282,0,73,lp_guided,0.0,0.0
breadth_first_most_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.301955,427,8,6.0,2026-06-02T12:46:18.036422,282,0,73,three_way,0.0,0.0
breadth_first_first_fractional,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.184152,427,8,6.0,2026-06-02T12:46:19.220472,282,0,73,zero_first,0.0,0.0
breadth_first_first_fractional,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.174534,427,8,6.0,2026-06-02T12:46:20.395705,282,0,73,lp_guided,0.0,0.0
breadth_first_first_fractional,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.262276,427,8,6.0,2026-06-02T12:46:21.659104,282,0,73,three_way,0.0,0.0
breadth_first_least_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.220091,427,8,6.0,2026-06-02T12:46:22.879543,282,0,73,zero_first,0.0,0.0
breadth_first_least_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.306171,427,8,6.0,2026-06-02T12:46:24.185587,282,0,73,lp_guided,0.0,0.0
breadth_first_least_constrained,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",1.528282,427,8,6.0,2026-06-02T12:46:25.714870,282,0,73,three_way,0.0,0.0
breadth_first_most_coverage,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",0.969738,461,8,6.0,2026-06-02T12:46:26.684292,242,0,110,zero_first,0.0,0.0
breadth_first_most_coverage,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",0.930128,461,8,6.0,2026-06-02T12:46:27.615464,242,0,110,lp_guided,0.0,0.0
breadth_first_most_coverage,6,optimal,8,"[15, 21, 20, 14, 9, 26, 13, 27]",0.898332,461,8,6.0,2026-06-02T12:46:28.513707,242,0,110,three_way,0.0,0.0
best_first_most_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.003591,1,10,10.0,2026-06-02T12:46:28.517706,1,0,0,zero_first,0.0,0.0
best_first_most_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.003463,1,10,10.0,2026-06-02T12:46:28.521704,1,0,0,lp_guided,0.0,0.0
best_first_most_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004588,1,10,10.0,2026-06-02T12:46:28.526707,1,0,0,three_way,0.0,0.0
best_first_first_fractional,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004854,1,10,10.0,2026-06-02T12:46:28.531407,1,0,0,zero_first,0.0,0.0
best_first_first_fractional,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004199,1,10,10.0,2026-06-02T12:46:28.536816,1,0,0,lp_guided,0.0,0.0
best_first_first_fractional,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004511,1,10,10.0,2026-06-02T12:46:28.541527,1,0,0,three_way,0.0,0.0
best_first_least_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005253,1,10,10.0,2026-06-02T12:46:28.547892,1,0,0,zero_first,0.0,0.0
best_first_least_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005018,1,10,10.0,2026-06-02T12:46:28.552196,1,0,0,lp_guided,0.0,0.0
best_first_least_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004254,1,10,10.0,2026-06-02T12:46:28.558015,1,0,0,three_way,0.0,0.0
best_first_most_coverage,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.00472,1,10,10.0,2026-06-02T12:46:28.562200,1,0,0,zero_first,0.0,0.0
best_first_most_coverage,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004282,1,10,10.0,2026-06-02T12:46:28.567660,1,0,0,lp_guided,0.0,0.0
best_first_most_coverage,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004385,1,10,10.0,2026-06-02T12:46:28.572224,1,0,0,three_way,0.0,0.0
depth_first_most_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.003756,1,10,10.0,2026-06-02T12:46:28.576504,1,0,0,zero_first,0.0,0.0
depth_first_most_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004893,1,10,10.0,2026-06-02T12:46:28.582030,1,0,0,lp_guided,0.0,0.0
depth_first_most_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004209,1,10,10.0,2026-06-02T12:46:28.587027,1,0,0,three_way,0.0,0.0
depth_first_first_fractional,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005434,1,10,10.0,2026-06-02T12:46:28.591892,1,0,0,zero_first,0.0,0.0
depth_first_first_fractional,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.007096,1,10,10.0,2026-06-02T12:46:28.600355,1,0,0,lp_guided,0.0,0.0
depth_first_first_fractional,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005804,1,10,10.0,2026-06-02T12:46:28.606783,1,0,0,three_way,0.0,0.0
depth_first_least_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005417,1,10,10.0,2026-06-02T12:46:28.612613,1,0,0,zero_first,0.0,0.0
depth_first_least_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.007787,1,10,10.0,2026-06-02T12:46:28.621119,1,0,0,lp_guided,0.0,0.0
depth_first_least_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004239,1,10,10.0,2026-06-02T12:46:28.626141,1,0,0,three_way,0.0,0.0
depth_first_most_coverage,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.00427,1,10,10.0,2026-06-02T12:46:28.630664,1,0,0,zero_first,0.0,0.0
depth_first_most_coverage,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.00498,1,10,10.0,2026-06-02T12:46:28.635661,1,0,0,lp_guided,0.0,0.0
depth_first_most_coverage,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004053,1,10,10.0,2026-06-02T12:46:28.641459,1,0,0,three_way,0.0,0.0
breadth_first_most_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005876,1,10,10.0,2026-06-02T12:46:28.647541,1,0,0,zero_first,0.0,0.0
breadth_first_most_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004556,1,10,10.0,2026-06-02T12:46:28.652906,1,0,0,lp_guided,0.0,0.0
breadth_first_most_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005786,1,10,10.0,2026-06-02T12:46:28.658201,1,0,0,three_way,0.0,0.0
breadth_first_first_fractional,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005781,1,10,10.0,2026-06-02T12:46:28.665057,1,0,0,zero_first,0.0,0.0
breadth_first_first_fractional,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005235,1,10,10.0,2026-06-02T12:46:28.671735,1,0,0,lp_guided,0.0,0.0
breadth_first_first_fractional,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.005742,1,10,10.0,2026-06-02T12:46:28.678295,1,0,0,three_way,0.0,0.0
breadth_first_least_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.007624,1,10,10.0,2026-06-02T12:46:28.685820,1,0,0,zero_first,0.0,0.0
breadth_first_least_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004904,1,10,10.0,2026-06-02T12:46:28.692224,1,0,0,lp_guided,0.0,0.0
breadth_first_least_constrained,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004676,1,10,10.0,2026-06-02T12:46:28.696225,1,0,0,three_way,0.0,0.0
breadth_first_most_coverage,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.003952,1,10,10.0,2026-06-02T12:46:28.701467,1,0,0,zero_first,0.0,0.0
breadth_first_most_coverage,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.004392,1,10,10.0,2026-06-02T12:46:28.706248,1,0,0,lp_guided,0.0,0.0
breadth_first_most_coverage,7,optimal,10,"[25, 18, 30, 37, 23, 16, 32, 11, 9, 39]",0.006913,1,10,10.0,2026-06-02T12:46:28.713249,1,0,0,three_way,0.0,0.0
best_first_most_constrained,8,optimal,14,"[37, 34, 20, 19, 51, 45, 18, 33, 21, 36, 53, 41, 17, 13]",0.007476,1,14,14.0,2026-06-02T12:46:28.721788,1,0,0,zero_first,0.0,0.0
best_first_most_constrained,8,optimal,14,"[37, 34, 20, 19, 51, 45, 18, 33, 21, 36, 53, 41, 17, 13]",0.007129,1,14,14.0,2026-06-02T12:46:28.728819,1,0,0,lp_guided,0.0,0.0
best_first_most_constrained,8,optimal,14,"[37, 34, 20, 19, 51, 45, 18, 33, 21, 36, 53, 41, 17, 13]",0.008129,1,14,14.0,2026-06-02T12:46:28.737378,1,0,0,three_way,0.0,0.0
